case_id,side,target,lesion_id_or_all,azimuth_deg,elevation_deg,total_score,foreshortening_score,overlap_score,covered_lesions,rank
case1,left,global_2view,all,95,50,0.8676246147315901,,,case1_left_b20_l1;case1_left_b6_l1,1
case1,left,global_2view,all,75,55,0.902437011898368,,,case1_left_b20_l1,2
case1,left,global_3view,all,95,50,0.8676246147315901,,,case1_left_b20_l1;case1_left_b6_l1,1
case1,left,global_3view,all,75,55,0.902437011898368,,,case1_left_b20_l1,2
case1,left,global_3view,all,255,-55,0.9024370118983679,,,case1_left_b20_l1,3
case2,right,global_2view,all,125,-50,0.8674990154791761,,,case2_right_b2_l1;case2_right_b2_l2,1
case2,right,global_2view,all,330,-55,0.8741196445000647,,,case2_right_b2_l1,2
case2,right,global_3view,all,125,-50,0.8674990154791761,,,case2_right_b2_l1;case2_right_b2_l2,1
case2,right,global_3view,all,330,-55,0.8741196445000647,,,case2_right_b2_l1,2
case2,right,global_3view,all,150,55,0.8741196445000645,,,case2_right_b2_l1,3
case1,case,global_2view,all,95,50,0.8676246147315901,,,case1_left_b20_l1;case1_left_b6_l1,1
case1,case,global_2view,all,75,55,0.902437011898368,,,case1_left_b20_l1,2
case1,case,global_3view,all,95,50,0.8676246147315901,,,case1_left_b20_l1;case1_left_b6_l1,1
case1,case,global_3view,all,75,55,0.902437011898368,,,case1_left_b20_l1,2
case1,case,global_3view,all,255,-55,0.9024370118983679,,,case1_left_b20_l1,3
case2,case,global_2view,all,125,-50,0.8674990154791761,,,case2_right_b2_l1;case2_right_b2_l2,1
case2,case,global_2view,all,330,-55,0.8741196445000647,,,case2_right_b2_l1,2
case2,case,global_3view,all,125,-50,0.8674990154791761,,,case2_right_b2_l1;case2_right_b2_l2,1
case2,case,global_3view,all,330,-55,0.8741196445000647,,,case2_right_b2_l1,2
case2,case,global_3view,all,150,55,0.8741196445000645,,,case2_right_b2_l1,3
