case_id,side,target,lesion_id_or_all,azimuth_deg,elevation_deg,total_score,foreshortening_score,overlap_score,covered_lesions,rank
case1,left,local,case1_left_b20_l1,60,60,0.9032454537154793,0.838742422859132,1.0,,1
case1,left,local,case1_left_b20_l1,240,-60,0.9032454537154793,0.838742422859132,1.0,,2
case1,left,local,case1_left_b20_l1,80,50,0.9008261391412944,0.8347102319021573,1.0,,3
case1,left,local,case1_left_b6_l1,140,-60,0.8577171164793882,0.7628618607989804,1.0,,1
case1,left,local,case1_left_b6_l1,320,60,0.8577171164793882,0.7628618607989804,1.0,,2
case1,left,local,case1_left_b6_l1,155,-45,0.85503097544881,0.7583849590813501,1.0,,3
case2,right,local,case2_right_b2_l2,0,35,0.8711288943601625,0.7852148239336041,1.0,,1
case2,right,local,case2_right_b2_l2,180,-35,0.8711288943601625,0.7852148239336041,1.0,,2
case2,right,local,case2_right_b2_l2,160,-40,0.8705187370555598,0.7841978950925996,1.0,,3
case2,right,local,case2_right_b2_l1,125,-60,0.8766456364767221,0.7944093941278703,1.0,,1
case2,right,local,case2_right_b2_l1,305,60,0.8766456364767221,0.7944093941278703,1.0,,2
case2,right,local,case2_right_b2_l1,140,60,0.8766078904223168,0.7943464840371947,1.0,,3
